Bloc : 15,29 | Moyenne : 123.577148
Bloc : 15,30 | Moyenne : 83.055664
Bloc : 15,31 | Moyenne : 61.581055
Bloc : 16,0 | Moyenne : 90.872070
Bloc : 16,1 | Moyenne : 77.802734
Bloc : 16,2 | Moyenne : 93.896484
Bloc : 16,3 | Moyenne : 86.384766
Bloc : 16,4 | Moyenne : 78.984375
Bloc : 16,5 | Moyenne : 93.477539
Bloc : 16,6 | Moyenne : 82.755859
Bloc : 16,7 | Moyenne : 158.618164
Bloc : 16,8 | Moyenne : 154.005859
Bloc : 16,9 | Moyenne : 107.022461
Bloc : 16,10 | Moyenne : 123.176758
Bloc : 16,11 | Moyenne : 116.894531
Bloc : 16,12 | Moyenne : 161.035156
Bloc : 16,13 | Moyenne : 192.898438
Bloc : 16,14 | Moyenne : 168.046875
Bloc : 16,15 | Moyenne : 130.859375
Bloc : 16,16 | Moyenne : 122.952148
Bloc : 16,17 | Moyenne : 100.497070
Bloc : 16,18 | Moyenne : 110.106445
Bloc : 16,19 | Moyenne : 129.262695
Bloc : 16,20 | Moyenne : 162.698242
Bloc : 16,21 | Moyenne : 128.457031
Bloc : 16,22 | Moyenne : 92.505859
Bloc : 16,23 | Moyenne : 72.194336
Bloc : 16,24 | Moyenne : 58.084961
Bloc : 16,25 | Moyenne : 75.897461
Bloc : 16,26 | Moyenne : 64.373047
Bloc : 16,27 | Moyenne : 35.711914
Bloc : 16,28 | Moyenne : 72.532227
Bloc : 16,29 | Moyenne : 106.003906
Bloc : 16,30 | Moyenne : 62.480469
Bloc : 16,31 | Moyenne : 59.156250
Bloc : 17,0 | Moyenne : 77.702148
Bloc : 17,1 | Moyenne : 67.486328
Bloc : 17,2 | Moyenne : 79.395508
Bloc : 17,3 | Moyenne : 78.893555
Bloc : 17,4 | Moyenne : 78.717773
Bloc : 17,5 | Moyenne : 88.574219
Bloc : 17,6 | Moyenne : 84.911133
Bloc : 17,7 | Moyenne : 118.747070
Bloc : 17,8 | Moyenne : 128.958008
Bloc : 17,9 | Moyenne : 110.170898
Bloc : 17,10 | Moyenne : 93.486328
Bloc : 17,11 | Moyenne : 116.081055
Bloc : 17,12 | Moyenne : 145.054688
Bloc : 17,13 | Moyenne : 157.719727
Bloc : 17,14 | Moyenne : 145.816406
Bloc : 17,15 | Moyenne : 96.937500
Bloc : 17,16 | Moyenne : 90.006836
Bloc : 17,17 | Moyenne : 64.452148
Bloc : 17,18 | Moyenne : 76.939453
Bloc : 17,19 | Moyenne : 95.942383
Bloc : 17,20 | Moyenne : 65.500977
Bloc : 17,21 | Moyenne : 104.290039
Bloc : 17,22 | Moyenne : 48.473633
Bloc : 17,23 | Moyenne : 62.854492
Bloc : 17,24 | Moyenne : 58.097656
Bloc : 17,25 | Moyenne : 54.748047
Bloc : 17,26 | Moyenne : 60.594727
Bloc : 17,27 | Moyenne : 51.166016
Bloc : 17,28 | Moyenne : 88.208984
Bloc : 17,29 | Moyenne : 65.541992
Bloc : 17,30 | Moyenne : 58.626953
Bloc : 17,31 | Moyenne : 55.554688
Bloc : 18,0 | Moyenne : 80.412109
Bloc : 18,1 | Moyenne : 62.830078
Bloc : 18,2 | Moyenne : 72.737305
Bloc : 18,3 | Moyenne : 83.849609
Bloc : 18,4 | Moyenne : 78.427734
Bloc : 18,5 | Moyenne : 84.413086
Bloc : 18,6 | Moyenne : 100.508789
Bloc : 18,7 | Moyenne : 94.226562
Bloc : 18,8 | Moyenne : 86.763672
Bloc : 18,9 | Moyenne : 74.287109
Bloc : 18,10 | Moyenne : 125.711914
Bloc : 18,11 | Moyenne : 119.026367
Bloc : 18,12 | Moyenne : 97.463867
Bloc : 18,13 | Moyenne : 126.043945
Bloc : 18,14 | Moyenne : 97.890625
Bloc : 18,15 | Moyenne : 58.961914
Bloc : 18,16 | Moyenne : 43.843750
Bloc : 18,17 | Moyenne : 50.253906
Bloc : 18,18 | Moyenne : 47.368164
Bloc : 18,19 | Moyenne : 26.103516
Bloc : 18,20 | Moyenne : 53.208984
Bloc : 18,21 | Moyenne : 41.507812
Bloc : 18,22 | Moyenne : 19.778320
Bloc : 18,23 | Moyenne : 65.058594
Bloc : 18,24 | Moyenne : 134.378906
Bloc : 18,25 | Moyenne : 147.724609
Bloc : 18,26 | Moyenne : 161.897461
Bloc : 18,27 | Moyenne : 128.323242
Bloc : 18,28 | Moyenne : 161.341797
Bloc : 18,29 | Moyenne : 147.067383
Bloc : 18,30 | Moyenne : 138.635742
Bloc : 18,31 | Moyenne : 124.467773
